ligand,receptor,source,target,ligand_expr,receptor_expr,lr_score
CCL5,CCR5,Fibroblast,Dendritic cell,0.5149,0.1186,0.061
VEGFA,FLT1,Myeloid/Macro,Dendritic cell,0.7644,0.0795,0.0608
SPP1,CD44,Endothelial,Endothelial,0.0889,0.6842,0.0608
TNF,TNFRSF1A,Plasma cell,Myeloid/Macro,0.1006,0.5912,0.0595
CCL5,CCR5,Unknown,NK cell,0.8071,0.0736,0.0594
FAS,FASLG,Plasma cell,NK cell,0.2273,0.2589,0.0589
TNF,TNFRSF1A,Myeloid/Macro,Endothelial,0.1517,0.3849,0.0584
TNF,TNFRSF1A,Dendritic cell,Unknown,0.4806,0.1213,0.0583
IL6,IL6R,Fibroblast,Endothelial,0.4471,0.1283,0.0574
CCL5,CCR5,NK cell,Unknown,3.3874,0.0169,0.0574
TGFB1,TGFBR2,Fibroblast,Tumor epithelial,0.6014,0.0916,0.0551
SPP1,CD44,T cell,Plasma cell,0.0488,1.1263,0.055
CD80,CTLA4,B cell,Unknown,0.1868,0.2928,0.0547
SPP1,CD44,Endothelial,Tumor epithelial,0.0889,0.6047,0.0537
TNF,TNFRSF1A,Dendritic cell,NK cell,0.4806,0.1112,0.0535
TNF,TNFRSF1A,Plasma cell,Fibroblast,0.1006,0.5293,0.0533
TGFB1,TGFBR2,Tumor epithelial,Tumor epithelial,0.5803,0.0916,0.0532
CXCL12,CXCR4,Endothelial,Endothelial,0.0569,0.9334,0.0531
CCL5,CCR5,Plasma cell,T cell,0.5908,0.0895,0.0529
IL6,IL6R,Fibroblast,Dendritic cell,0.4471,0.118,0.0528
IL6,IL6R,Unknown,Myeloid/Macro,0.0675,0.7741,0.0523
SPP1,CD44,Tumor epithelial,Endothelial,0.0759,0.6842,0.0519
SPP1,CD44,NK cell,Endothelial,0.0755,0.6842,0.0517
FAS,FASLG,Fibroblast,NK cell,0.1933,0.2589,0.05
CCL2,CCR2,Endothelial,Plasma cell,1.253,0.0388,0.0486
FAS,FASLG,Unknown,T cell,0.4983,0.097,0.0483
TNF,TNFRSF1A,Dendritic cell,Dendritic cell,0.4806,0.1002,0.0482
VEGFA,FLT1,Fibroblast,Dendritic cell,0.6013,0.0795,0.0478
TNF,TNFRSF1A,B cell,Unknown,0.3868,0.1213,0.0469
VEGFA,FLT1,Mast cell,Unknown,1.1046,0.0423,0.0468
CD80,CTLA4,B cell,NK cell,0.1868,0.2492,0.0465
CCL5,CCR5,NK cell,B cell,3.3874,0.0137,0.0464
CCL5,CCR5,Fibroblast,T cell,0.5149,0.0895,0.0461
SPP1,CD44,Tumor epithelial,Tumor epithelial,0.0759,0.6047,0.0459
CCL5,CCR5,Plasma cell,Myeloid/Macro,0.5908,0.0774,0.0457
SPP1,CD44,NK cell,Tumor epithelial,0.0755,0.6047,0.0457
TNF,TNFRSF1A,Mast cell,Endothelial,0.118,0.3849,0.0454
SPP1,CD44,B cell,Myeloid/Macro,0.0246,1.8373,0.0453
CCL2,CCR2,Fibroblast,Plasma cell,1.162,0.0388,0.0451
SPP1,CD44,B cell,Unknown,0.0246,1.8285,0.045
CXCL10,CXCR3,Endothelial,Dendritic cell,0.2335,0.1898,0.0443
HGF,MET,Fibroblast,Endothelial,0.2072,0.2132,0.0442
CXCL12,CXCR4,Endothelial,Fibroblast,0.0569,0.7732,0.044
TNF,TNFRSF1A,NK cell,Unknown,0.3621,0.1213,0.0439
SPP1,CD44,B cell,T cell,0.0246,1.7707,0.0436
CCL5,CCR5,Plasma cell,NK cell,0.5908,0.0736,0.0435
IL6,IL6R,Fibroblast,Fibroblast,0.4471,0.0968,0.0433
VEGFA,KDR,Mast cell,Tumor epithelial,1.1046,0.0392,0.0433
FAS,FASLG,T cell,T cell,0.4448,0.097,0.0431
TNF,TNFRSF1A,B cell,NK cell,0.3868,0.1112,0.043
IL6,IL6R,B cell,Myeloid/Macro,0.0547,0.7741,0.0423
SPP1,CD44,B cell,NK cell,0.0246,1.7125,0.0422
TNF,TNFRSF1A,T cell,Unknown,0.3383,0.1213,0.041
TNF,TNFRSF1A,NK cell,NK cell,0.3621,0.1112,0.0403
CCL5,CCR5,Fibroblast,Myeloid/Macro,0.5149,0.0774,0.0398
IL6,IL6R,Endothelial,Plasma cell,0.2273,0.174,0.0395
TNF,TNFRSF1A,B cell,Dendritic cell,0.3868,0.1002,0.0388
TNF,TNFRSF1A,Plasma cell,Endothelial,0.1006,0.3849,0.0387
CD274,PDCD1,Endothelial,NK cell,0.1159,0.3319,0.0385
SPP1,CD44,B cell,Dendritic cell,0.0246,1.5537,0.0383
PDGFA,PDGFRA,Mast cell,Fibroblast,0.1504,0.253,0.0381
