ligand,receptor,source,target,ligand_expr,receptor_expr,lr_score
TGFB1,TGFBR2,Tumor epithelial,Unknown,0.5803,0.5723,0.3321
SPP1,CD44,Plasma cell,B cell,0.2266,1.4617,0.3313
TGFB1,TGFBR2,Myeloid/Macro,Dendritic cell,1.1397,0.2876,0.3278
TGFB1,TGFBR2,T cell,Mast cell,1.4886,0.218,0.3245
TNF,TNFRSF1A,Dendritic cell,Tumor epithelial,0.4806,0.6641,0.3192
TGFB1,TGFBR2,Fibroblast,T cell,0.6014,0.5287,0.318
TGFB1,TGFBR2,Dendritic cell,NK cell,0.7559,0.4172,0.3154
CDH1,CDH1,Tumor epithelial,Tumor epithelial,0.5612,0.5612,0.3149
TGFB1,TGFBR2,Unknown,Mast cell,1.4415,0.218,0.3143
TGFB1,TGFBR2,Endothelial,Dendritic cell,1.0881,0.2876,0.3129
CD80,CTLA4,Dendritic cell,T cell,0.5681,0.5421,0.308
SPP1,CD44,Fibroblast,Myeloid/Macro,0.1672,1.8373,0.3072
TGFB1,TGFBR2,Tumor epithelial,T cell,0.5803,0.5287,0.3068
SPP1,CD44,Fibroblast,Unknown,0.1672,1.8285,0.3057
TGFB1,TGFBR2,T cell,Plasma cell,1.4886,0.2043,0.3041
CCL5,CCR5,NK cell,T cell,3.3874,0.0896,0.3034
TGFB1,TGFBR2,Myeloid/Macro,Myeloid/Macro,1.1397,0.2636,0.3004
TGFB1,TGFBR2,Dendritic cell,B cell,0.7559,0.3945,0.2982
SPP1,CD44,Fibroblast,T cell,0.1672,1.7708,0.2961
TGFB1,TGFBR2,Unknown,Plasma cell,1.4415,0.2043,0.2945
TGFB1,TGFBR2,Mast cell,Dendritic cell,1.0223,0.2876,0.294
TGFB1,TGFBR2,Endothelial,Myeloid/Macro,1.0881,0.2636,0.2868
SPP1,CD44,Fibroblast,NK cell,0.1672,1.7125,0.2863
CXCL12,CXCR4,Fibroblast,Endothelial,0.3063,0.9334,0.2859
TNF,TNFRSF1A,Dendritic cell,Myeloid/Macro,0.4806,0.5912,0.2841
SPP1,CD44,Plasma cell,Fibroblast,0.2266,1.2495,0.2832
SPP1,CD44,Dendritic cell,Myeloid/Macro,0.1526,1.8373,0.2804
SPP1,CD44,Dendritic cell,Unknown,0.1526,1.8285,0.279
SPP1,CD44,Dendritic cell,T cell,0.1526,1.7708,0.2702
TGFB1,TGFBR2,Fibroblast,Fibroblast,0.6014,0.4485,0.2698
TGFB1,TGFBR2,Mast cell,Myeloid/Macro,1.0223,0.2636,0.2695
TGFB1,TGFBR2,B cell,Dendritic cell,0.9361,0.2876,0.2692
SPP1,CD44,Unknown,Mast cell,0.1038,2.5281,0.2625
CCL5,CCR5,NK cell,Myeloid/Macro,3.3874,0.0774,0.2621
SPP1,CD44,Dendritic cell,NK cell,0.1526,1.7125,0.2613
TGFB1,TGFBR2,Tumor epithelial,Fibroblast,0.5803,0.4485,0.2603
SPP1,CD44,Fibroblast,Dendritic cell,0.1672,1.5537,0.2598
TGFB1,TGFBR2,Plasma cell,Dendritic cell,0.9006,0.2876,0.259
TNF,TNFRSF1A,B cell,Tumor epithelial,0.3868,0.6641,0.2569
SPP1,CD44,Mast cell,Mast cell,0.1013,2.5281,0.2561
SPP1,CD44,Plasma cell,Plasma cell,0.2266,1.129,0.2559
TNF,TNFRSF1A,Dendritic cell,Fibroblast,0.4806,0.5293,0.2544
TGFB1,TGFBR2,Fibroblast,NK cell,0.6014,0.4172,0.2509
CCL5,CCR5,NK cell,NK cell,3.3874,0.0736,0.2494
TGFB1,TGFBR2,Myeloid/Macro,Mast cell,1.1397,0.218,0.2485
TGFB1,TGFBR2,B cell,Myeloid/Macro,0.9361,0.2636,0.2467
SPP1,CD44,Fibroblast,B cell,0.1672,1.4617,0.2444
TGFB1,TGFBR2,Tumor epithelial,NK cell,0.5803,0.4172,0.2421
TNF,TNFRSF1A,NK cell,Tumor epithelial,0.3621,0.6641,0.2405
TGFB1,TGFBR2,Plasma cell,Myeloid/Macro,0.9006,0.2636,0.2374
TGFB1,TGFBR2,Endothelial,Mast cell,1.0881,0.218,0.2372
TGFB1,TGFBR2,Fibroblast,B cell,0.6014,0.3945,0.2372
SPP1,CD44,Dendritic cell,Dendritic cell,0.1526,1.5537,0.2371
