group,names,scores,logfoldchanges,pvals,pvals_adj
6,GSPT1,6.8738036,1.2875024,1.6751879860646e-11,1.497658917785315e-09
6,CD3D,6.847919,1.3976849,1.9327207213223894e-11,1.7070813985559562e-09
6,TNFRSF25,6.8362145,2.2367117,2.540755072275192e-11,2.174273397064136e-09
6,CDKN1B,6.8154893,1.4089893,2.4751150844772553e-11,2.1263752364417297e-09
6,TIGIT,6.8096905,1.8186169,2.7642272836724006e-11,2.3523003774187096e-09
6,RPS21,6.802941,0.7394698,2.8658654455058124e-11,2.4241914901157436e-09
6,ITPKB,6.792816,1.6727644,3.004071653609854e-11,2.521700300680974e-09
6,HNRNPLL,6.7839456,1.7205012,3.331351839610043e-11,2.7361033838845686e-09
6,EML4,6.7754097,1.0809321,3.082947530147041e-11,2.578070913708132e-09
6,RPL37,6.744264,0.6590823,4.3516783352694536e-11,3.5057311951494907e-09
6,RPL9,6.726982,0.7453324,4.337252197218649e-11,3.5057311951494907e-09
6,RPS2,6.715366,0.646893,5.079337424370225e-11,4.032847219284273e-09
6,CNOT6L,6.7003083,1.4072781,5.068868887471234e-11,4.032847219284273e-09
6,S1PR1,6.6949215,2.691176,7.321315485918405e-11,5.552334189027706e-09
6,DDIT4,6.664316,1.2156348,6.247028819931276e-11,4.8548022910511856e-09
6,RPS19,6.653607,0.65171605,7.677734424016598e-11,5.7827538762807205e-09
6,RPS29,6.638557,0.7461061,7.808908866881615e-11,5.861478932058955e-09
6,CRYBG1,6.631096,1.5866946,8.286762547686506e-11,6.177992159704045e-09
6,STAT5B,6.618948,1.3767397,8.45530116725768e-11,6.282345897685749e-09
6,SH2D2A,6.612995,1.4474562,8.688732698423558e-11,6.4124596723634e-09
6,RPL39,6.610352,0.7118946,9.532496056294661e-11,6.988272858869616e-09
6,RPL17,6.5650344,0.7279017,1.2074518735821415e-10,8.621912031068844e-09
6,PBXIP1,6.5648665,1.6092671,1.286579883709551e-10,9.098312341615483e-09
6,RPL18,6.557682,0.68080735,1.402569033649328e-10,9.823790050015818e-09
6,TSHZ2,6.554192,2.3121495,1.640051730883157e-10,1.13784409202881e-08
6,ITK,6.553639,1.447019,1.2665372283475504e-10,8.985468794531509e-09
6,CLEC2D,6.553599,1.3853351,1.2628874821880138e-10,8.985468794531509e-09
6,EEF1B2,6.5409784,0.8671433,1.3606651536187147e-10,9.59138100113346e-09
6,CCR4,6.53107,3.1990862,2.1481028296232174e-10,1.4581242448118338e-08
6,EEF1D,6.5168653,0.72981876,1.631129183515674e-10,1.1352349409196273e-08
6,PPP2R5C,6.5141473,1.2138128,1.609447910503715e-10,1.1237012030383557e-08
6,FAM107B,6.4976883,1.070724,1.771304549852026e-10,1.2135919303705795e-08
6,RPL18A,6.4871335,0.6398747,2.2882115076716072e-10,1.543700481233793e-08
6,TSC22D3,6.484982,0.9849552,1.977124836672055e-10,1.3462200164993345e-08
6,SELL,6.477822,2.0003421,2.3856820102912335e-10,1.594781290344532e-08
6,RPL28,6.475816,0.6064387,2.3177037119498935e-10,1.558815221312355e-08
6,NSMCE3,6.466548,1.4713087,2.2833323572075123e-10,1.543700481233793e-08
6,RPL23A,6.462419,0.71813256,2.396165471142892e-10,1.596935369904413e-08
6,RPL35A,6.451383,0.6828809,2.551806847579094e-10,1.690418313217079e-08
6,S1PR4,6.434189,1.7372898,2.9458919172399166e-10,1.928244075471949e-08
6,RHOH,6.4203973,1.1686823,2.8517996656103146e-10,1.8722277625602285e-08
6,RACK1,6.417855,0.670017,3.0750573571087616e-10,2.006817105486439e-08
6,STAT3,6.400189,1.0127845,3.2265939682037156e-10,2.0932885292833133e-08
6,RPS15,6.395039,0.580515,3.5966016000184215e-10,2.319649823730356e-08
6,RPS7,6.3866873,0.6820071,3.954832084504456e-10,2.5284483149565847e-08
6,RNF149,6.380593,1.1127446,3.673079045683974e-10,2.3620475863078254e-08
6,HLA-A,6.3752975,0.77160746,4.714374348610436e-10,2.928904944886704e-08
