ligand,receptor,source,target,ligand_expr,receptor_expr,lr_score
SPP1,CD44,Unknown,Myeloid/Macro,0.1038,1.8359,0.1906
SPP1,CD44,NK cell,Mast cell,0.0752,2.5294,0.1901
SPP1,CD44,Unknown,Unknown,0.1038,1.8285,0.1899
TGFB1,TGFBR2,B cell,Plasma cell,0.939,0.2018,0.1895
VEGFA,KDR,Mast cell,Endothelial,1.1046,0.1706,0.1885
SPP1,CD44,Fibroblast,Plasma cell,0.1672,1.1263,0.1883
SPP1,CD44,Mast cell,Myeloid/Macro,0.1024,1.8359,0.188
TGFB1,TGFBR2,Dendritic cell,Myeloid/Macro,0.7099,0.2641,0.1875
SPP1,CD44,Mast cell,Unknown,0.1024,1.8285,0.1873
TNF,TNFRSF1A,Unknown,Tumor epithelial,0.2774,0.6641,0.1842
SPP1,CD44,Unknown,T cell,0.1038,1.7726,0.1841
CCL5,CCR5,T cell,T cell,1.9877,0.0921,0.183
TGFB1,TGFBR2,Plasma cell,Mast cell,0.8928,0.2045,0.1826
VEGFA,FLT1,Mast cell,Myeloid/Macro,1.1046,0.1652,0.1824
SPP1,CD44,Mast cell,T cell,0.1024,1.7726,0.1815
TGFB1,TGFBR2,Plasma cell,Plasma cell,0.8928,0.2018,0.1802
IL6,IL6R,Fibroblast,Mast cell,0.4471,0.4018,0.1797
SPP1,CD44,Unknown,NK cell,0.1038,1.7159,0.1782
TNF,TNFRSF1A,T cell,Fibroblast,0.3347,0.5293,0.1772
IL6,IL6R,Endothelial,Myeloid/Macro,0.2273,0.7757,0.1763
SPP1,CD44,Mast cell,NK cell,0.1024,1.7159,0.1757
TNF,TNFRSF1A,Dendritic cell,Endothelial,0.4539,0.3849,0.1747
VEGFA,FLT1,Plasma cell,Endothelial,0.1945,0.8809,0.1713
TGFB1,TGFBR2,NK cell,Tumor epithelial,1.832,0.0916,0.1679
TNF,TNFRSF1A,Unknown,Myeloid/Macro,0.2774,0.5924,0.1644
TGFB1,TGFBR2,Fibroblast,Dendritic cell,0.6014,0.2716,0.1634
SPP1,CD44,Endothelial,Myeloid/Macro,0.0889,1.8359,0.1631
SPP1,CD44,Endothelial,Unknown,0.0889,1.8285,0.1625
SPP1,CD44,Unknown,Dendritic cell,0.1038,1.5394,0.1598
TGFB1,TGFBR2,Fibroblast,Myeloid/Macro,0.6014,0.2641,0.1588
SPP1,CD44,Mast cell,Dendritic cell,0.1024,1.5394,0.1577
TGFB1,TGFBR2,Tumor epithelial,Dendritic cell,0.5803,0.2716,0.1576
SPP1,CD44,Endothelial,T cell,0.0889,1.7726,0.1575
CD80,CTLA4,Dendritic cell,Unknown,0.5365,0.2928,0.1571
SPP1,CD44,Plasma cell,Endothelial,0.2266,0.6842,0.1551
CCL5,CCR5,T cell,Myeloid/Macro,1.9877,0.0775,0.1541
TGFB1,TGFBR2,Tumor epithelial,Myeloid/Macro,0.5803,0.2641,0.1533
SPP1,CD44,Endothelial,NK cell,0.0889,1.7159,0.1525
SPP1,CD44,Unknown,B cell,0.1038,1.4613,0.1517
TNF,TNFRSF1A,Fibroblast,Tumor epithelial,0.2258,0.6641,0.1499
SPP1,CD44,Mast cell,B cell,0.1024,1.4613,0.1497
TNF,TNFRSF1A,B cell,Endothelial,0.388,0.3849,0.1494
TNF,TNFRSF1A,Unknown,Fibroblast,0.2774,0.5293,0.1468
CCL5,CCR5,T cell,NK cell,1.9877,0.0733,0.1457
TGFB1,TGFBR2,Dendritic cell,Mast cell,0.7099,0.2045,0.1452
TGFB1,TGFBR2,Dendritic cell,Plasma cell,0.7099,0.2018,0.1433
TNF,TNFRSF1A,NK cell,Endothelial,0.3704,0.3849,0.1426
VEGFA,FLT1,Endothelial,Endothelial,0.1592,0.8809,0.1402
SPP1,CD44,Tumor epithelial,Myeloid/Macro,0.0759,1.8359,0.1393
SPP1,CD44,Tumor epithelial,Unknown,0.0759,1.8285,0.1387
SPP1,CD44,NK cell,Myeloid/Macro,0.0752,1.8359,0.138
CXCL12,CXCR4,Fibroblast,Mast cell,0.3063,0.4495,0.1377
SPP1,CD44,NK cell,Unknown,0.0752,1.8285,0.1374
SPP1,CD44,Plasma cell,Tumor epithelial,0.2266,0.6047,0.1371
CD80,CTLA4,Dendritic cell,NK cell,0.5365,0.2552,0.1369
SPP1,CD44,Endothelial,Dendritic cell,0.0889,1.5394,0.1368
TGFB1,TGFBR2,T cell,Tumor epithelial,1.4902,0.0916,0.1366
SPP1,CD44,Tumor epithelial,T cell,0.0759,1.7726,0.1345
TNF,TNFRSF1A,Fibroblast,Myeloid/Macro,0.2258,0.5924,0.1338
SPP1,CD44,NK cell,T cell,0.0752,1.7726,0.1332
TGFB1,TGFBR2,Unknown,Tumor epithelial,1.4415,0.0916,0.1321
VEGFA,KDR,Myeloid/Macro,Endothelial,0.766,0.1706,0.1307
SPP1,CD44,Tumor epithelial,NK cell,0.0759,1.7159,0.1302
SPP1,CD44,Endothelial,B cell,0.0889,1.4613,0.1299
SPP1,CD44,Unknown,Fibroblast,0.1038,1.2495,0.1297
SPP1,CD44,NK cell,NK cell,0.0752,1.7159,0.129
TNF,TNFRSF1A,T cell,Endothelial,0.3347,0.3849,0.1288
FAS,FASLG,Unknown,NK cell,0.4983,0.2576,0.1284
SPP1,CD44,Mast cell,Fibroblast,0.1024,1.2495,0.128
CXCL12,CXCR4,Endothelial,T cell,0.0569,2.2236,0.1266
VEGFA,FLT1,Myeloid/Macro,Myeloid/Macro,0.766,0.1652,0.1265
CD274,PDCD1,Mast cell,T cell,0.2372,0.5296,0.1256
CXCL12,CXCR4,Endothelial,B cell,0.0569,2.1828,0.1242
SPP1,CD44,T cell,Mast cell,0.0488,2.5294,0.1235
TGFB1,TGFBR2,Fibroblast,Mast cell,0.6014,0.2045,0.123
TGFB1,TGFBR2,Fibroblast,Plasma cell,0.6014,0.2018,0.1214
TNF,TNFRSF1A,Fibroblast,Fibroblast,0.2258,0.5293,0.1195
CXCL12,CXCR4,Endothelial,NK cell,0.0569,2.097,0.1194
TGFB1,TGFBR2,Tumor epithelial,Mast cell,0.5803,0.2045,0.1187
TGFB1,TGFBR2,Tumor epithelial,Plasma cell,0.5803,0.2018,0.1171
SPP1,CD44,Unknown,Plasma cell,0.1038,1.1263,0.1169
SPP1,CD44,Tumor epithelial,Dendritic cell,0.0759,1.5394,0.1168
