ligand,receptor,source,target,ligand_expr,receptor_expr,lr_score
FAS,FASLG,B cell,NK cell,0.2575,0.2458,0.0633
CXCL12,CXCR4,Endothelial,Plasma cell,0.0569,1.1087,0.0631
SPP1,CD44,Unknown,Tumor epithelial,0.1038,0.6018,0.0625
SPP1,CD44,B cell,Mast cell,0.0246,2.5294,0.0623
HGF,MET,Fibroblast,Tumor epithelial,0.2072,0.3003,0.0622
SPP1,CD44,Mast cell,Tumor epithelial,0.1024,0.6018,0.0616
CD274,PDCD1,Endothelial,T cell,0.1159,0.5294,0.0614
CCL5,CCR5,Fibroblast,Dendritic cell,0.5149,0.1186,0.061
VEGFA,FLT1,Myeloid/Macro,Dendritic cell,0.7644,0.0795,0.0608
SPP1,CD44,T cell,Fibroblast,0.0482,1.2495,0.0602
TNF,TNFRSF1A,Plasma cell,Myeloid/Macro,0.1006,0.5912,0.0595
TGFB1,TGFBR2,Fibroblast,Tumor epithelial,0.6014,0.0983,0.0591
TNF,TNFRSF1A,Myeloid/Macro,Endothelial,0.1517,0.3849,0.0584
TNF,TNFRSF1A,Dendritic cell,Unknown,0.4806,0.1213,0.0583
SPP1,CD44,NK cell,Endothelial,0.0799,0.7159,0.0572
CCL5,CCR5,NK cell,Unknown,3.3703,0.0169,0.0571
TGFB1,TGFBR2,Tumor epithelial,Tumor epithelial,0.5774,0.0983,0.0568
CXCL12,CXCR4,Endothelial,Endothelial,0.0569,0.992,0.0565
FAS,FASLG,Plasma cell,NK cell,0.2273,0.2458,0.0559
CCL5,CCR5,Plasma cell,T cell,0.5908,0.0928,0.0548
CD80,CTLA4,B cell,Unknown,0.1868,0.2928,0.0547
SPP1,CD44,T cell,Plasma cell,0.0482,1.1263,0.0543
SPP1,CD44,Tumor epithelial,Endothelial,0.0755,0.7159,0.0541
SPP1,CD44,Endothelial,Tumor epithelial,0.0889,0.6018,0.0535
TNF,TNFRSF1A,Plasma cell,Fibroblast,0.1006,0.5293,0.0533
IL6,IL6R,Fibroblast,Dendritic cell,0.4471,0.118,0.0528
IL6,IL6R,Unknown,Myeloid/Macro,0.0675,0.7741,0.0523
TNF,TNFRSF1A,Dendritic cell,NK cell,0.4806,0.1086,0.0522
FAS,FASLG,Unknown,T cell,0.4843,0.1026,0.0497
CCL5,CCR5,Unknown,NK cell,0.825,0.0594,0.049
CD80,CTLA4,B cell,NK cell,0.1868,0.261,0.0487
CCL2,CCR2,Endothelial,Plasma cell,1.253,0.0388,0.0486
TNF,TNFRSF1A,Mast cell,Endothelial,0.1258,0.3849,0.0484
TNF,TNFRSF1A,NK cell,Unknown,0.3984,0.1213,0.0483
TNF,TNFRSF1A,Dendritic cell,Dendritic cell,0.4806,0.1002,0.0482
SPP1,CD44,NK cell,Tumor epithelial,0.0799,0.6018,0.0481
CCL5,CCR5,Fibroblast,T cell,0.5149,0.0928,0.0478
VEGFA,FLT1,Fibroblast,Dendritic cell,0.6013,0.0795,0.0478
FAS,FASLG,Fibroblast,NK cell,0.1933,0.2458,0.0475
TNF,TNFRSF1A,B cell,Unknown,0.3868,0.1213,0.0469
VEGFA,FLT1,Mast cell,Unknown,1.1046,0.0423,0.0468
CCL5,CCR5,NK cell,B cell,3.3703,0.0137,0.0462
CCL5,CCR5,Plasma cell,Myeloid/Macro,0.5908,0.0774,0.0457
SPP1,CD44,Tumor epithelial,Tumor epithelial,0.0755,0.6018,0.0454
FAS,FASLG,T cell,T cell,0.4422,0.1026,0.0453
SPP1,CD44,B cell,Myeloid/Macro,0.0246,1.8373,0.0453
CCL2,CCR2,Fibroblast,Plasma cell,1.162,0.0388,0.0451
SPP1,CD44,B cell,Unknown,0.0246,1.8285,0.045
CXCL10,CXCR3,Endothelial,Dendritic cell,0.2335,0.1898,0.0443
HGF,MET,Fibroblast,Endothelial,0.2072,0.2132,0.0442
CXCL12,CXCR4,Endothelial,Fibroblast,0.0569,0.7732,0.044
SPP1,CD44,B cell,T cell,0.0246,1.7703,0.0436
TNF,TNFRSF1A,NK cell,NK cell,0.3984,0.1086,0.0433
IL6,IL6R,Fibroblast,Fibroblast,0.4471,0.0968,0.0433
VEGFA,KDR,Mast cell,Tumor epithelial,1.1046,0.039,0.0431
IL6,IL6R,B cell,Myeloid/Macro,0.0547,0.7741,0.0423
SPP1,CD44,B cell,NK cell,0.0246,1.7182,0.0423
TNF,TNFRSF1A,B cell,NK cell,0.3868,0.1086,0.042
TNF,TNFRSF1A,NK cell,Dendritic cell,0.3984,0.1002,0.0399
TNF,TNFRSF1A,T cell,Unknown,0.3293,0.1213,0.0399
CCL5,CCR5,Fibroblast,Myeloid/Macro,0.5149,0.0774,0.0398
IL6,IL6R,Endothelial,Plasma cell,0.2273,0.174,0.0395
TNF,TNFRSF1A,B cell,Dendritic cell,0.3868,0.1002,0.0388
TNF,TNFRSF1A,Plasma cell,Endothelial,0.1006,0.3849,0.0387
SPP1,CD44,B cell,Dendritic cell,0.0246,1.5537,0.0383
PDGFA,PDGFRA,Mast cell,Fibroblast,0.1504,0.253,0.0381
CD80,CTLA4,B cell,Endothelial,0.1868,0.2029,0.0379
CD80,CTLA4,Myeloid/Macro,Unknown,0.1289,0.2928,0.0377
PDGFA,PDGFRA,Endothelial,Fibroblast,0.1487,0.253,0.0376
CD274,PDCD1,Endothelial,NK cell,0.1159,0.3243,0.0376
CD274,PDCD1,Tumor epithelial,T cell,0.0703,0.5294,0.0372
CDH1,CDH1,Fibroblast,Tumor epithelial,0.0665,0.5585,0.0371
CDH1,CDH1,Tumor epithelial,Fibroblast,0.5585,0.0665,0.0371
FAS,FASLG,Dendritic cell,T cell,0.3602,0.1026,0.0369
CXCL10,CXCR3,Endothelial,Fibroblast,0.2335,0.1565,0.0365
CXCL10,CXCR3,Endothelial,Unknown,0.2335,0.1549,0.0362
SPP1,CD44,B cell,B cell,0.0246,1.4617,0.036
TNF,TNFRSF1A,Dendritic cell,T cell,0.4806,0.0747,0.0359
TNF,TNFRSF1A,T cell,NK cell,0.3293,0.1086,0.0358
VEGFA,FLT1,Tumor epithelial,Dendritic cell,0.4476,0.0795,0.0356
CCL5,CCR5,Plasma cell,NK cell,0.5908,0.0594,0.0351
CD274,PDCD1,Mast cell,Plasma cell,0.2372,0.1477,0.035
IL6,IL6R,Fibroblast,Endothelial,0.4471,0.0775,0.0347
CD274,PDCD1,Myeloid/Macro,T cell,0.0653,0.5294,0.0346
SPP1,CD44,T cell,Endothelial,0.0482,0.7159,0.0345
IL6,IL6R,Fibroblast,Unknown,0.4471,0.0767,0.0343
TNF,TNFRSF1A,Dendritic cell,Plasma cell,0.4806,0.0714,0.0343
IL6,IL6R,Myeloid/Macro,Myeloid/Macro,0.044,0.7741,0.0341
