ligand,receptor,source,target,ligand_expr,receptor_expr,lr_score
TNF,TNFRSF1A,Dendritic cell,Myeloid/Macro,0.4806,0.5912,0.2841
SPP1,CD44,Dendritic cell,Myeloid/Macro,0.1526,1.8373,0.2804
SPP1,CD44,Dendritic cell,Unknown,0.1526,1.8285,0.279
TGFB1,TGFBR2,Fibroblast,Fibroblast,0.644,0.4319,0.2782
SPP1,CD44,Fibroblast,NK cell,0.161,1.7159,0.2763
CXCL12,CXCR4,Fibroblast,Endothelial,0.2949,0.9334,0.2753
TGFB1,TGFBR2,Fibroblast,NK cell,0.644,0.4224,0.272
SPP1,CD44,Dendritic cell,T cell,0.1526,1.7706,0.2702
TGFB1,TGFBR2,B cell,Dendritic cell,0.9361,0.2876,0.2692
TGFB1,TGFBR2,Mast cell,Myeloid/Macro,1.0175,0.2636,0.2682
CCL5,CCR5,NK cell,Myeloid/Macro,3.395,0.0774,0.2627
SPP1,CD44,Unknown,Mast cell,0.1038,2.5294,0.2626
SPP1,CD44,Dendritic cell,NK cell,0.1526,1.7159,0.2618
SPP1,CD44,Mast cell,Mast cell,0.1024,2.5294,0.259
TNF,TNFRSF1A,B cell,Tumor epithelial,0.3868,0.6641,0.2569
TGFB1,TGFBR2,Plasma cell,Dendritic cell,0.8928,0.2876,0.2568
SPP1,CD44,Plasma cell,Plasma cell,0.2266,1.1263,0.2553
TGFB1,TGFBR2,Fibroblast,B cell,0.644,0.3945,0.254
TGFB1,TGFBR2,Tumor epithelial,Fibroblast,0.5803,0.4319,0.2506
SPP1,CD44,Fibroblast,Dendritic cell,0.161,1.5537,0.2502
CCL5,CCR5,NK cell,NK cell,3.395,0.0733,0.2488
TGFB1,TGFBR2,B cell,Myeloid/Macro,0.9361,0.2636,0.2467
TNF,TNFRSF1A,NK cell,Tumor epithelial,0.3704,0.6641,0.246
TGFB1,TGFBR2,Tumor epithelial,NK cell,0.5803,0.4224,0.2451
TNF,TNFRSF1A,Dendritic cell,Fibroblast,0.4806,0.5097,0.245
CXCL12,CXCR4,Fibroblast,Fibroblast,0.2949,0.8094,0.2387
SPP1,CD44,Dendritic cell,Dendritic cell,0.1526,1.5537,0.2371
CCL5,CCR5,T cell,Dendritic cell,1.9889,0.1186,0.2358
SPP1,CD44,Fibroblast,B cell,0.161,1.4617,0.2354
TGFB1,TGFBR2,Plasma cell,Myeloid/Macro,0.8928,0.2636,0.2353
TGFB1,TGFBR2,Myeloid/Macro,Mast cell,1.1397,0.2045,0.2331
TGFB1,TGFBR2,Myeloid/Macro,Plasma cell,1.1397,0.2018,0.2301
TGFB1,TGFBR2,Tumor epithelial,B cell,0.5803,0.3945,0.2289
TNF,TNFRSF1A,B cell,Myeloid/Macro,0.3868,0.5912,0.2287
SPP1,CD44,Endothelial,Mast cell,0.0889,2.5294,0.2248
SPP1,CD44,Dendritic cell,B cell,0.1526,1.4617,0.2231
TNF,TNFRSF1A,T cell,Tumor epithelial,0.3356,0.6641,0.2228
TGFB1,TGFBR2,Endothelial,Mast cell,1.0881,0.2045,0.2226
TGFB1,TGFBR2,Endothelial,Plasma cell,1.0881,0.2018,0.2196
TNF,TNFRSF1A,NK cell,Myeloid/Macro,0.3704,0.5912,0.219
TGFB1,TGFBR2,Dendritic cell,Dendritic cell,0.7559,0.2876,0.2174
TGFB1,TGFBR2,Mast cell,Mast cell,1.0175,0.2045,0.2081
SPP1,CD44,Fibroblast,Fibroblast,0.161,1.2843,0.2068
TGFB1,TGFBR2,Mast cell,Plasma cell,1.0175,0.2018,0.2054
TGFB1,TGFBR2,Dendritic cell,Myeloid/Macro,0.7559,0.2636,0.1992
TNF,TNFRSF1A,T cell,Myeloid/Macro,0.3356,0.5912,0.1984
TNF,TNFRSF1A,B cell,Fibroblast,0.3868,0.5097,0.1971
SPP1,CD44,Dendritic cell,Fibroblast,0.1526,1.2843,0.196
SPP1,CD44,Tumor epithelial,Mast cell,0.0759,2.5294,0.1919
TGFB1,TGFBR2,B cell,Mast cell,0.9361,0.2045,0.1915
SPP1,CD44,Unknown,Myeloid/Macro,0.1038,1.8373,0.1908
SPP1,CD44,NK cell,Mast cell,0.0752,2.5294,0.1901
SPP1,CD44,Unknown,Unknown,0.1038,1.8285,0.1899
TGFB1,TGFBR2,B cell,Plasma cell,0.9361,0.2018,0.1889
TNF,TNFRSF1A,NK cell,Fibroblast,0.3704,0.5097,0.1888
VEGFA,KDR,Mast cell,Endothelial,1.1046,0.1706,0.1885
SPP1,CD44,Mast cell,Myeloid/Macro,0.1024,1.8373,0.1882
SPP1,CD44,Mast cell,Unknown,0.1024,1.8285,0.1873
TGFB1,TGFBR2,Fibroblast,Dendritic cell,0.644,0.2876,0.1852
TNF,TNFRSF1A,Dendritic cell,Endothelial,0.4806,0.3849,0.185
TNF,TNFRSF1A,Unknown,Tumor epithelial,0.2774,0.6641,0.1842
SPP1,CD44,Unknown,T cell,0.1038,1.7706,0.1839
TGFB1,TGFBR2,Plasma cell,Mast cell,0.8928,0.2045,0.1826
VEGFA,FLT1,Mast cell,Myeloid/Macro,1.1046,0.1648,0.1821
SPP1,CD44,Mast cell,T cell,0.1024,1.7706,0.1813
SPP1,CD44,Fibroblast,Plasma cell,0.161,1.1263,0.1813
TGFB1,TGFBR2,Plasma cell,Plasma cell,0.8928,0.2018,0.1802
CCL5,CCR5,T cell,T cell,1.9889,0.0897,0.1784
SPP1,CD44,Unknown,NK cell,0.1038,1.7159,0.1782
IL6,IL6R,Endothelial,Myeloid/Macro,0.2273,0.7741,0.176
SPP1,CD44,Mast cell,NK cell,0.1024,1.7159,0.1757
IL6,IL6R,Fibroblast,Mast cell,0.4306,0.4018,0.173
SPP1,CD44,Dendritic cell,Plasma cell,0.1526,1.1263,0.1719
VEGFA,FLT1,Plasma cell,Endothelial,0.1945,0.8809,0.1713
TNF,TNFRSF1A,T cell,Fibroblast,0.3356,0.5097,0.171
TGFB1,TGFBR2,Fibroblast,Myeloid/Macro,0.644,0.2636,0.1697
