ligand,receptor,source,target,ligand_expr,receptor_expr,lr_score
CD80,CTLA4,Myeloid/Macro,T cell,0.1289,0.552,0.0711
TGFB1,TGFBR2,Dendritic cell,Tumor epithelial,0.6772,0.1047,0.0709
TNF,TNFRSF1A,Mast cell,Myeloid/Macro,0.118,0.5912,0.0698
FAS,FASLG,Dendritic cell,NK cell,0.2923,0.233,0.0681
FAS,FASLG,Endothelial,NK cell,0.2866,0.233,0.0668
TNF,TNFRSF1A,Fibroblast,Fibroblast,0.1308,0.5097,0.0666
SPP1,CD44,T cell,Fibroblast,0.0492,1.3545,0.0666
SPP1,CD44,Unknown,Endothelial,0.0947,0.7001,0.0663
CCL5,CCR5,Unknown,NK cell,0.8046,0.0824,0.0663
CD274,PDCD1,Mast cell,Unknown,0.2372,0.2793,0.0662
FAS,FASLG,Fibroblast,NK cell,0.2805,0.233,0.0654
VEGFA,FLT1,Myeloid/Macro,Dendritic cell,0.7644,0.0845,0.0646
CD274,PDCD1,Endothelial,T cell,0.1186,0.5391,0.064
SPP1,CD44,Endothelial,Endothelial,0.0909,0.7001,0.0637
FAS,FASLG,NK cell,NK cell,0.2723,0.233,0.0634
TGFB1,TGFBR2,Fibroblast,Tumor epithelial,0.6044,0.1047,0.0633
SPP1,CD44,B cell,Mast cell,0.0249,2.5404,0.0632
SPP1,CD44,Mast cell,Tumor epithelial,0.1024,0.6114,0.0626
CCL5,CCR5,Unknown,Myeloid/Macro,0.8046,0.0774,0.0623
TNF,TNFRSF1A,Dendritic cell,Unknown,0.5106,0.121,0.0618
CXCL12,CXCR4,Endothelial,Plasma cell,0.0582,1.0476,0.061
TGFB1,TGFBR2,Tumor epithelial,Tumor epithelial,0.5814,0.1047,0.0609
TNF,TNFRSF1A,Mast cell,Fibroblast,0.118,0.5097,0.0601
TNF,TNFRSF1A,Myeloid/Macro,Endothelial,0.1517,0.3939,0.0598
HGF,MET,Fibroblast,Tumor epithelial,0.1995,0.2988,0.0596
IL6,IL6R,Fibroblast,Fibroblast,0.4306,0.138,0.0594
FAS,FASLG,B cell,NK cell,0.2547,0.233,0.0593
SPP1,CD44,Unknown,Tumor epithelial,0.0947,0.6114,0.0579
TNF,TNFRSF1A,Plasma cell,Tumor epithelial,0.0867,0.6576,0.057
IL6,IL6R,Fibroblast,Endothelial,0.4306,0.1313,0.0565
SPP1,CD44,Endothelial,Tumor epithelial,0.0909,0.6114,0.0556
TNF,TNFRSF1A,Dendritic cell,Dendritic cell,0.5106,0.1065,0.0544
IL6,IL6R,Fibroblast,Dendritic cell,0.4306,0.1254,0.054
SPP1,CD44,T cell,Plasma cell,0.0492,1.0933,0.0537
