group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
16,COL1A2,33.49645,11.106986,5.429478586192015e-246,2.3882104509224198e-242,0.8148148148148148,0.006808510638297872
2,CD163,39.5895,6.2973676,0.0,0.0,0.8475609756097561,0.03074670571010249
2,C1QC,39.08611,7.409934,0.0,0.0,0.9115853658536586,0.05758906783796974
2,TREM2,38.705505,7.081543,0.0,0.0,0.7469512195121951,0.014153245485602733
2,APOC1,38.614162,7.942426,0.0,0.0,0.9817073170731707,0.10346510492923378
2,CD14,38.528484,5.743817,0.0,0.0,0.9237804878048781,0.05856515373352855
3,FCN1,28.671267,6.597584,8.707752409895557e-181,1.91509598750833e-176,0.8804347826086957,0.05514223194748359
3,VCAN,26.635925,5.6327963,2.605339568663134e-156,2.8649616566804156e-152,0.9239130434782609,0.07658643326039387
3,CD300E,24.506859,5.8049088,1.248258094694219e-132,9.15098009220332e-129,0.5869565217391305,0.028446389496717725
3,LILRA5,23.375725,6.0485735,7.547749937135229e-121,4.149941609185378e-117,0.5108695652173914,0.022757111597374178
3,SLC11A1,21.927689,5.172786,1.4142898763861196e-106,6.220895450271985e-103,0.9565217391304348,0.14792122538293218
4,MS4A1,24.645634,4.39924,4.0989514111793184e-134,9.014823838606676e-130,0.8068965517241379,0.08646953405017921
4,BANK1,23.044813,4.419793,1.6580620432319407e-117,1.8232879258400038e-113,0.7310344827586207,0.08870967741935484
4,LINC00926,21.659033,4.3868494,4.99603991651213e-104,3.6625968627950424e-100,0.47586206896551725,0.033602150537634407
4,CD19,19.48472,3.985394,1.479882957048213e-84,8.1367664685903385e-81,0.4689655172413793,0.04390681003584229
4,NAPSB,19.117378,3.7506819,1.8098189635275642e-81,7.960669692972344e-78,0.6689655172413793,0.11603942652329749
5,KRT6A,43.563766,10.7063675,0.0,0.0,0.9548387096774194,0.013501350135013501
5,PITX1,42.616318,9.569735,0.0,0.0,0.8193548387096774,0.0031503150315031502
5,CALML3,42.341682,9.659721,0.0,0.0,0.9032258064516129,0.012151215121512151
5,TRIM29,42.222504,8.472885,0.0,0.0,0.8193548387096774,0.004050405040504051
5,PTHLH,42.180122,9.685331,0.0,0.0,0.8387096774193549,0.0063006300630063005
6,FAAH2,20.053114,3.5903325,1.895965750818577e-89,4.1697974757752967e-85,0.5483870967741935,0.10438512869399429
6,IL7R,19.817564,3.1675346,2.1002954084966655e-87,2.3095898459533584e-83,0.8279569892473119,0.29647283126787416
6,TNFRSF4,19.284325,3.6857939,7.27343143064904e-83,5.332152581808812e-79,0.4838709677419355,0.08531935176358436
6,SPOCK2,18.972288,2.6980188,2.890516954380321e-80,1.5892784844421602e-76,0.8458781362007168,0.3179218303145853
6,SARAF,17.01364,1.8181918,6.5067313019254925e-65,2.862050830464947e-61,0.974910394265233,0.8355576739752145
7,ENSG00000234238,18.199337,10.812504,5.223525396667922e-74,3.829366468297254e-70,0.1875,0.00042354934349851756
7,CMTM2,18.199337,10.317289,5.223525396667922e-74,3.829366468297254e-70,0.1875,0.00042354934349851756
7,ENSG00000289251,18.199337,11.956935,5.223525396667922e-74,3.829366468297254e-70,0.1875,0.00042354934349851756
7,HSD11B1-AS1,16.847488,8.44796,1.0946454484296299e-63,6.018634336828213e-60,0.5,0.010588733587462939
7,TGM3,16.138054,8.328581,1.3781922531703119e-58,6.062116444794933e-55,0.3125,0.0038119440914866584
8,CCL5,21.378122,4.1447988,2.1355105458195598e-101,4.696628343420958e-97,0.9101123595505618,0.3085308056872038
8,NKG7,18.680279,3.5394702,7.16443878058293e-78,7.87837510506802e-74,0.6928838951310862,0.21800947867298578
