ligand,receptor,source,target,ligand_expr,receptor_expr,lr_score
SPP1,CD44,Tumor epithelial,Fibroblast,0.0755,1.2899,0.0974
SPP1,CD44,Fibroblast,Tumor epithelial,0.161,0.6018,0.0969
TGFB1,TGFBR2,Fibroblast,Plasma cell,0.6239,0.1542,0.0962
VEGFA,FLT1,Fibroblast,Myeloid/Macro,0.579,0.1655,0.0958
IL6,IL6R,Endothelial,Mast cell,0.2326,0.4062,0.0945
SPP1,CD44,Unknown,Plasma cell,0.092,1.003,0.0923
TGFB1,TGFBR2,B cell,Tumor epithelial,0.9349,0.0983,0.0919
SPP1,CD44,Endothelial,Plasma cell,0.0909,1.003,0.0912
TNF,TNFRSF1A,Myeloid/Macro,Myeloid/Macro,0.1523,0.5927,0.0903
SPP1,CD44,T cell,Unknown,0.0481,1.8578,0.0893
TGFB1,TGFBR2,Tumor epithelial,Plasma cell,0.5774,0.1542,0.089
SPP1,CD44,T cell,Myeloid/Macro,0.0481,1.8385,0.0884
TNF,TNFRSF1A,Fibroblast,Endothelial,0.2174,0.3939,0.0856
SPP1,CD44,T cell,T cell,0.0481,1.7718,0.0852
SPP1,CD44,T cell,NK cell,0.0481,1.7346,0.0834
IL6,IL6R,Fibroblast,Plasma cell,0.4306,0.1893,0.0815
TGFB1,TGFBR2,Plasma cell,Tumor epithelial,0.8147,0.0983,0.0801
CD80,CTLA4,Dendritic cell,Endothelial,0.4829,0.162,0.0782
VEGFA,KDR,Tumor epithelial,Endothelial,0.4476,0.1746,0.0781
TNF,TNFRSF1A,Myeloid/Macro,Fibroblast,0.1523,0.5097,0.0776
CXCL10,CXCR3,Endothelial,T cell,0.2389,0.3234,0.0773
CXCL10,CXCR3,Endothelial,NK cell,0.2389,0.3207,0.0766
SPP1,CD44,NK cell,Plasma cell,0.0763,1.003,0.0765
SPP1,CD44,Tumor epithelial,Plasma cell,0.0755,1.003,0.0757
TGFB1,TGFBR2,Dendritic cell,Tumor epithelial,0.7692,0.0983,0.0756
VEGFA,FLT1,Mast cell,Dendritic cell,1.1166,0.0676,0.0755
VEGFA,FLT1,Tumor epithelial,Myeloid/Macro,0.4476,0.1655,0.0741
CD274,PDCD1,Mast cell,NK cell,0.2397,0.3047,0.073
VEGFA,FLT1,Dendritic cell,Endothelial,0.0806,0.9014,0.0726
SPP1,CD44,T cell,Dendritic cell,0.0481,1.5081,0.0725
SPP1,CD44,Mast cell,Endothelial,0.1035,0.7001,0.0725
SPP1,CD44,B cell,Mast cell,0.0285,2.5419,0.0724
SPP1,CD44,T cell,B cell,0.0481,1.4591,0.0702
CD80,CTLA4,Myeloid/Macro,T cell,0.1294,0.5365,0.0694
CD274,PDCD1,Mast cell,Unknown,0.2397,0.2765,0.0663
SPP1,CD44,Unknown,Endothelial,0.092,0.7001,0.0644
TNF,TNFRSF1A,Mast cell,Tumor epithelial,0.097,0.6608,0.0641
CD274,PDCD1,Endothelial,T cell,0.1186,0.5392,0.064
SPP1,CD44,Endothelial,Endothelial,0.0909,0.7001,0.0637
SPP1,CD44,Mast cell,Tumor epithelial,0.1035,0.6018,0.0623
SPP1,CD44,T cell,Fibroblast,0.0481,1.2899,0.062
TGFB1,TGFBR2,Fibroblast,Tumor epithelial,0.6239,0.0983,0.0614
TNF,TNFRSF1A,Plasma cell,Tumor epithelial,0.0914,0.6608,0.0604
TNF,TNFRSF1A,Myeloid/Macro,Endothelial,0.1523,0.3939,0.06
