ligand,receptor,source,target,ligand_expr,receptor_expr,lr_score
SPP1,CD44,Tumor epithelial,Tumor epithelial,0.0755,0.6018,0.0454
SPP1,CD44,B cell,Myeloid/Macro,0.0246,1.8373,0.0453
SPP1,CD44,NK cell,Tumor epithelial,0.0752,0.6018,0.0452
CCL5,CCR5,Plasma cell,NK cell,0.606,0.0733,0.0444
CXCL10,CXCR3,Endothelial,Dendritic cell,0.2335,0.1898,0.0443
HGF,MET,Fibroblast,Endothelial,0.2072,0.2132,0.0442
CCL2,CCR2,Fibroblast,Plasma cell,1.162,0.038,0.0442
TNF,TNFRSF1A,B cell,Unknown,0.3868,0.1138,0.044
CXCL12,CXCR4,Endothelial,Fibroblast,0.0569,0.7732,0.044
SPP1,CD44,B cell,T cell,0.0246,1.7705,0.0436
IL6,IL6R,Fibroblast,Fibroblast,0.4471,0.0968,0.0433
FAS,FASLG,T cell,T cell,0.4437,0.0972,0.0431
VEGFA,KDR,Mast cell,Tumor epithelial,1.1046,0.039,0.0431
IL6,IL6R,Plasma cell,Myeloid/Macro,0.0553,0.7741,0.0428
TNF,TNFRSF1A,B cell,NK cell,0.3868,0.1107,0.0428
IL6,IL6R,B cell,Myeloid/Macro,0.0547,0.7741,0.0423
SPP1,CD44,B cell,NK cell,0.0246,1.7159,0.0423
TNF,TNFRSF1A,NK cell,Unknown,0.3704,0.1138,0.0422
IL6,IL6R,Endothelial,Plasma cell,0.2273,0.1805,0.041
TNF,TNFRSF1A,NK cell,NK cell,0.3704,0.1107,0.041
CCL5,CCR5,Fibroblast,Myeloid/Macro,0.5149,0.0774,0.0398
CXCL10,CXCR3,Endothelial,Plasma cell,0.2335,0.1693,0.0395
TNF,TNFRSF1A,B cell,Dendritic cell,0.3868,0.1002,0.0388
CD80,CTLA4,Myeloid/Macro,Unknown,0.1289,0.2986,0.0385
CD274,PDCD1,Mast cell,Plasma cell,0.2372,0.1618,0.0384
TNF,TNFRSF1A,Dendritic cell,Plasma cell,0.4806,0.08,0.0384
SPP1,CD44,B cell,Dendritic cell,0.0246,1.5537,0.0383
CD274,PDCD1,Endothelial,NK cell,0.1159,0.3303,0.0383
PDGFA,PDGFRA,Mast cell,Fibroblast,0.1504,0.253,0.0381
CCL5,CCR5,Fibroblast,NK cell,0.5149,0.0733,0.0377
PDGFA,PDGFRA,Endothelial,Fibroblast,0.1487,0.253,0.0376
TNF,TNFRSF1A,T cell,Unknown,0.3285,0.1138,0.0374
CD274,PDCD1,Tumor epithelial,T cell,0.0703,0.5288,0.0372
CDH1,CDH1,Fibroblast,Tumor epithelial,0.0665,0.5585,0.0371
TNF,TNFRSF1A,NK cell,Dendritic cell,0.3704,0.1002,0.0371
CDH1,CDH1,Tumor epithelial,Fibroblast,0.5585,0.0665,0.0371
CXCL10,CXCR3,Endothelial,Unknown,0.2335,0.1579,0.0369
CXCL10,CXCR3,Endothelial,Fibroblast,0.2335,0.1565,0.0365
TNF,TNFRSF1A,T cell,NK cell,0.3285,0.1107,0.0364
SPP1,CD44,B cell,B cell,0.0246,1.4617,0.036
VEGFA,FLT1,Tumor epithelial,Dendritic cell,0.4476,0.0795,0.0356
TNF,TNFRSF1A,Dendritic cell,T cell,0.4806,0.0736,0.0354
FAS,FASLG,Dendritic cell,T cell,0.3602,0.0972,0.035
FAS,FASLG,Unknown,Mast cell,0.4938,0.0702,0.0347
CD274,PDCD1,Myeloid/Macro,T cell,0.0653,0.5288,0.0345
CCL5,CCR5,T cell,Unknown,1.9854,0.0173,0.0343
IL6,IL6R,Myeloid/Macro,Myeloid/Macro,0.044,0.7741,0.0341
IL6,IL6R,Unknown,Myeloid/Macro,0.0436,0.7741,0.0338
SPP1,CD44,T cell,Endothelial,0.049,0.6842,0.0335
FAS,FASLG,Unknown,Unknown,0.4938,0.0671,0.0331
CXCL10,CXCR3,Myeloid/Macro,NK cell,0.0966,0.3417,0.033
VEGFA,FLT1,Myeloid/Macro,Unknown,0.7644,0.0432,0.033
TNF,TNFRSF1A,T cell,Dendritic cell,0.3285,0.1002,0.0329
CD80,CTLA4,Myeloid/Macro,NK cell,0.1289,0.2552,0.0329
VEGFA,KDR,Plasma cell,Endothelial,0.1906,0.1706,0.0325
CDH1,CDH1,Plasma cell,Tumor epithelial,0.0582,0.5585,0.0325
CDH1,CDH1,Tumor epithelial,Plasma cell,0.5585,0.0582,0.0325
TNF,TNFRSF1A,Unknown,Unknown,0.2829,0.1138,0.0322
CD274,PDCD1,Endothelial,Unknown,0.1159,0.2781,0.0322
IL6,IL6R,Fibroblast,Tumor epithelial,0.4471,0.0717,0.032
VEGFA,FLT1,Plasma cell,Myeloid/Macro,0.1906,0.1648,0.0314
TNF,TNFRSF1A,Unknown,NK cell,0.2829,0.1107,0.0313
FAS,FASLG,T cell,Mast cell,0.4437,0.0702,0.0311
TNF,TNFRSF1A,Endothelial,Tumor epithelial,0.0471,0.6608,0.0311
TNF,TNFRSF1A,B cell,Plasma cell,0.3868,0.08,0.0309
CCL5,CCR5,Myeloid/Macro,Dendritic cell,0.2596,0.1186,0.0308
SPP1,CD44,B cell,Fibroblast,0.0246,1.2495,0.0308
DLL1,NOTCH1,Endothelial,Unknown,0.1141,0.2689,0.0307
CD80,CTLA4,Dendritic cell,Myeloid/Macro,0.5681,0.054,0.0307
IL6,IL6R,Fibroblast,Unknown,0.4471,0.0683,0.0306
CXCL10,CXCR3,Fibroblast,NK cell,0.089,0.3417,0.0304
